ENTITY,CIK,DATE,CurrentAssets,CurrentLiabilities,CurrentRatio,Year,Quarter
THE BOEING COMPANY,12927,2008-12-31,25964.0,30773.0,0.843726643486173,2008,Q4
THE BOEING COMPANY,12927,2009-06-30,30120.0,31272.0,0.9631619339984651,2009,Q2
THE BOEING COMPANY,12927,2009-09-30,30227.0,32049.0,0.94314955224812,2009,Q3
THE BOEING COMPANY,12927,2009-12-31,35275.0,32883.0,1.0727427546148465,2009,Q4
THE BOEING COMPANY,12927,2010-03-31,36798.0,33484.0,1.0989726436506988,2010,Q1
THE BOEING COMPANY,12927,2010-06-30,38327.0,34088.0,1.1243546115935226,2010,Q2
THE BOEING COMPANY,12927,2010-09-30,39454.0,34238.0,1.1523453472749576,2010,Q3
THE BOEING COMPANY,12927,2010-12-31,40572.0,35395.0,1.1462635965531855,2010,Q4
THE BOEING COMPANY,12927,2011-03-31,41009.0,35257.0,1.1631449073942763,2011,Q1
THE BOEING COMPANY,12927,2011-06-30,44353.0,37370.0,1.1868611185442868,2011,Q2
THE BOEING COMPANY,12927,2011-09-30,46347.0,37593.0,1.232862500997526,2011,Q3
THE BOEING COMPANY,12927,2011-12-31,49810.0,41274.0,1.206813005766342,2011,Q4
THE BOEING COMPANY,12927,2012-03-31,50131.0,41305.0,1.2136787313884518,2012,Q1
THE BOEING COMPANY,12927,2012-06-30,51608.0,42450.0,1.215736160188457,2012,Q2
THE BOEING COMPANY,12927,2012-09-30,53778.0,42852.0,1.2549705964715765,2012,Q3
THE BOEING COMPANY,12927,2012-12-31,57309.0,44982.0,1.2740429505135387,2012,Q4
THE BOEING COMPANY,12927,2013-03-31,59490.0,45666.0,1.3027197477335435,2013,Q1
THE BOEING COMPANY,12927,2013-06-30,61310.0,46949.0,1.3058851093740016,2013,Q2
THE BOEING COMPANY,12927,2013-09-30,64162.0,49680.0,1.2915056360708534,2013,Q3
THE BOEING COMPANY,12927,2013-12-31,65074.0,51486.0,1.2639164044594646,2013,Q4
THE BOEING COMPANY,12927,2014-03-31,64777.0,52502.0,1.2338006171193479,2014,Q1
THE BOEING COMPANY,12927,2014-06-30,65527.0,53339.0,1.2285007217983088,2014,Q2
THE BOEING COMPANY,12927,2014-09-30,65218.0,53204.0,1.2258100894669575,2014,Q3
THE BOEING COMPANY,12927,2014-12-31,67767.0,48233.0,1.4049924325669148,2014,Q4
THE BOEING COMPANY,12927,2015-03-31,66421.0,55256.0,1.2020595048501521,2015,Q1
THE BOEING COMPANY,12927,2015-06-30,66806.0,57136.0,1.1692453094371325,2015,Q2
THE BOEING COMPANY,12927,2015-09-30,67576.0,57808.0,1.1689731525048437,2015,Q3
THE BOEING COMPANY,12927,2015-12-31,68234.0,50412.0,1.3535269380306276,2015,Q4
THE BOEING COMPANY,12927,2016-03-31,65587.0,49517.0,1.3245350081790093,2016,Q1
THE BOEING COMPANY,12927,2016-06-30,63507.0,49859.0,1.2737319240257525,2016,Q2
THE BOEING COMPANY,12927,2016-09-30,62237.0,48489.0,1.2835282228959146,2016,Q3
THE BOEING COMPANY,12927,2016-12-31,62488.0,50134.0,1.2464195954841026,2016,Q4
THE BOEING COMPANY,12927,2017-03-31,62367.0,49781.0,1.2528273839416646,2017,Q1
THE BOEING COMPANY,12927,2017-06-30,62831.0,52909.0,1.1875295318376835,2017,Q2
THE BOEING COMPANY,12927,2017-09-30,64142.0,54409.0,1.1788858460916392,2017,Q3
THE BOEING COMPANY,12927,2017-12-31,85194.0,74648.0,1.1412763905262029,2017,Q4
THE BOEING COMPANY,12927,2018-03-31,86543.0,75532.0,1.1457792723613833,2018,Q1
THE BOEING COMPANY,12927,2018-06-30,86401.0,77725.0,1.1116243165004824,2018,Q2
THE BOEING COMPANY,12927,2018-09-30,87686.0,79417.0,1.1041212838561014,2018,Q3
THE BOEING COMPANY,12927,2018-12-31,87830.0,81590.0,1.0764799607795073,2018,Q4
THE BOEING COMPANY,12927,2019-03-31,89509.0,83615.0,1.070489744663039,2019,Q1
THE BOEING COMPANY,12927,2019-06-30,95111.0,92189.0,1.0316957554588941,2019,Q2
THE BOEING COMPANY,12927,2019-09-30,101656.0,91846.0,1.1068092241360539,2019,Q3
THE BOEING COMPANY,12927,2019-12-31,102229.0,97312.0,1.050528197961197,2019,Q4
THE BOEING COMPANY,12927,2020-03-31,111011.0,94502.0,1.1746947154557577,2020,Q1
THE BOEING COMPANY,12927,2020-06-30,130277.0,92482.0,1.4086741203693691,2020,Q2
THE BOEING COMPANY,12927,2020-09-30,131012.0,92307.0,1.4193073114715027,2020,Q3
THE BOEING COMPANY,12927,2020-12-31,121642.0,87280.0,1.393698441796517,2020,Q4
THE BOEING COMPANY,12927,2021-03-31,119945.0,89892.0,1.3343234103145998,2021,Q1
THE BOEING COMPANY,12927,2021-06-30,119095.0,88224.0,1.3499161225970258,2021,Q2
THE BOEING COMPANY,12927,2021-09-30,116888.0,85771.0,1.3627916195450678,2021,Q3
THE BOEING COMPANY,12927,2021-12-31,108666.0,81992.0,1.325324421894819,2021,Q4
THE BOEING COMPANY,12927,2022-03-31,106012.0,81692.0,1.29770356950497,2022,Q1
THE BOEING COMPANY,12927,2022-06-30,106000.0,84799.0,1.2500147407398672,2022,Q2
THE BOEING COMPANY,12927,2022-09-30,109251.0,89618.0,1.219074293110759,2022,Q3
THE BOEING COMPANY,12927,2022-12-31,109523.0,90052.0,1.2162195176120463,2022,Q4
THE BOEING COMPANY,12927,2023-03-31,108811.0,93510.0,1.1636295583360068,2023,Q1
THE BOEING COMPANY,12927,2023-06-30,107412.0,92076.0,1.1665580607324384,2023,Q2
THE BOEING COMPANY,12927,2023-09-30,106935.0,93062.0,1.149072661236595,2023,Q3
